"id","name","price","stock","category","description"
"1","Nhuộm tóc dài","800000","-1","1","Đinh Mạnh Hùng "
"2","Cắt tóc","150000","-1","1","Đinh Mạnh Hùng "
"3","Làm phồng đỉnh","100000","-1","1","Đinh Mạnh Hùng "
"4","Cắt uốn thiết kế tóc ngắn","600000","-1","1","Đinh Mạnh Hùng "
"5","Cắt uốn thiết kế tóc lỡ","700000","-1","1","Đinh Mạnh Hùng "
"6","Cắt thiết kế tóc dài","800000","-1","1","Đinh Mạnh Hùng "
"7","Cắt Nhuộm tóc ngắn","600000","-1","1","Đinh Mạnh Hùng "
"8","Cắt Nhuộm tóc lỡ","700000","-1","1","Đinh Mạnh Hùng "
"9","Cắt Nhuộm tóc dài","800000","-1","1","Đinh Mạnh Hùng "
"10","Cắt Duỗi tóc ngắn","600000","-1","1","Đinh Mạnh Hùng "
"11","Cắt Duỗi tóc lỡ","700000","-1","1","Đinh Mạnh Hùng "
"12","Cắt Duỗi tóc dài","800000","-1","1","Đinh Mạnh Hùng "
"13","Cắt uốn thiết kế tóc ngắn","1000000","-1","1","Đinh Mạnh Hùng "
"14","Cắt uốn thiết kế tóc lỡ","1100000","-1","1","Đinh Mạnh Hùng "
"15","Cắt uốn thiết kế tóc dài","1200000","-1","1","Đinh Mạnh Hùng "
"16","Cắt Nhuộm tóc ngắn","1000000","-1","1","Đinh Mạnh Hùng "
"17","Cắt Nhuộm tóc lỡ","1100000","-1","1","Đinh Mạnh Hùng "
"18","Cắt Nhuộm tóc dài","1200000","-1","1","Đinh Mạnh Hùng "
"19","Cắt Duỗi tóc ngắn","1000000","-1","1","Đinh Mạnh Hùng "
"20","Cắt Duỗi tóc lỡ","1100000","-1","1","Đinh Mạnh Hùng "
"21","Cắt Duỗi tóc dài","1200000","-1","1","Đinh Mạnh Hùng "
"22","Uốn phồng chân","300000","-1","1","Đinh Mạnh Hùng "
"23","Uốn phồng chân full đầu","500000","-1","1","Đinh Mạnh Hùng "
"24","Phá ngôi mái","200000","-1","1","Đinh Mạnh Hùng "
"25","Phá ngôi + uốn mái","300000","-1","1","Đinh Mạnh Hùng "
"26","Tẩy light viền 2 lần + nhuộm màu","800000","-1","1","Đinh Mạnh Hùng "
"27","Tẩy baby light 2 lần + lên màu","1800000","-1","1","Đinh Mạnh Hùng "
"28","Tẩy full","1000000","-1","1","Đinh Mạnh Hùng "
"29","Phục hồi olaplex 1ml","60000","-1","1","Đinh Mạnh Hùng "
"30","Phục hồi Keratin tóc ngắn","700000","-1","1","Đinh Mạnh Hùng "
"31","Hấp collagen tươi","500000","-1","1","Đinh Mạnh Hùng "
